day,month,year,hour,n-passengers
1,1,2020,0,2214.0
1,1,2020,1,1464.0
1,1,2020,2,814.0
1,1,2020,3,517.0
1,1,2020,4,225.0
1,1,2020,5,158.0
1,1,2020,6,607.0
1,1,2020,7,1541.0
1,1,2020,8,2049.0
1,1,2020,9,2641.0
1,1,2020,10,3265.0
1,1,2020,11,4956.0
1,1,2020,12,7122.0
1,1,2020,13,10738.0
1,1,2020,14,14288.0
1,1,2020,15,16583.0
1,1,2020,16,16786.0
1,1,2020,17,16141.0
1,1,2020,18,13493.0
1,1,2020,19,9294.0
1,1,2020,20,5853.0
1,1,2020,21,3373.0
1,1,2020,22,2131.0
1,1,2020,23,928.0
2,1,2020,0,301.0
2,1,2020,1,20.0
2,1,2020,2,1.0
2,1,2020,3,5.0
2,1,2020,4,16.0
2,1,2020,5,133.0
2,1,2020,6,2938.0
2,1,2020,7,12256.0
2,1,2020,8,13667.0
2,1,2020,9,8810.0
2,1,2020,10,6997.0
2,1,2020,11,7395.0
2,1,2020,12,8556.0
2,1,2020,13,9224.0
2,1,2020,14,9366.0
2,1,2020,15,11184.0
2,1,2020,16,12321.0
2,1,2020,17,15872.0
2,1,2020,18,18122.0
2,1,2020,19,9558.0
2,1,2020,20,4951.0
2,1,2020,21,3268.0
2,1,2020,22,2127.0
2,1,2020,23,1246.0
3,1,2020,0,462.0
3,1,2020,1,20.0
3,1,2020,2,2.0
3,1,2020,3,
3,1,2020,4,11.0
3,1,2020,5,105.0
3,1,2020,6,2851.0
3,1,2020,7,12223.0
3,1,2020,8,13622.0
3,1,2020,9,9255.0
3,1,2020,10,7907.0
3,1,2020,11,9389.0
3,1,2020,12,10556.0
3,1,2020,13,10552.0
3,1,2020,14,11961.0
3,1,2020,15,14098.0
3,1,2020,16,15609.0
3,1,2020,17,19559.0
3,1,2020,18,21854.0
3,1,2020,19,12546.0
3,1,2020,20,6627.0
3,1,2020,21,4566.0
3,1,2020,22,3283.0
3,1,2020,23,2006.0
4,1,2020,0,863.0
4,1,2020,1,27.0
4,1,2020,2,4.0
4,1,2020,3,11.0
4,1,2020,4,25.0
4,1,2020,5,57.0
4,1,2020,6,1509.0
4,1,2020,7,4691.0
4,1,2020,8,6345.0
4,1,2020,9,6730.0
4,1,2020,10,7418.0
4,1,2020,11,9143.0
4,1,2020,12,11546.0
4,1,2020,13,14545.0
4,1,2020,14,16950.0
4,1,2020,15,18140.0
4,1,2020,16,19207.0
4,1,2020,17,19699.0
4,1,2020,18,17377.0
4,1,2020,19,12505.0
4,1,2020,20,7690.0
4,1,2020,21,5114.0
4,1,2020,22,3547.0
4,1,2020,23,2254.0
5,1,2020,0,989.0
5,1,2020,1,41.0
5,1,2020,2,7.0
5,1,2020,3,10.0
5,1,2020,4,13.0
5,1,2020,5,22.0
5,1,2020,6,433.0
5,1,2020,7,1785.0
5,1,2020,8,2851.0
5,1,2020,9,4042.0
5,1,2020,10,4980.0
5,1,2020,11,6489.0
5,1,2020,12,8375.0
5,1,2020,13,10760.0
5,1,2020,14,12514.0
5,1,2020,15,13032.0
5,1,2020,16,12774.0
5,1,2020,17,11938.0
5,1,2020,18,9934.0
5,1,2020,19,7047.0
5,1,2020,20,4352.0
5,1,2020,21,2869.0
5,1,2020,22,1817.0
5,1,2020,23,935.0
6,1,2020,0,280.0
6,1,2020,1,13.0
6,1,2020,2,6.0
6,1,2020,3,4.0
6,1,2020,4,17.0
6,1,2020,5,128.0
6,1,2020,6,2915.0
6,1,2020,7,11693.0
6,1,2020,8,12893.0
6,1,2020,9,7774.0
6,1,2020,10,6041.0
6,1,2020,11,5471.0
6,1,2020,12,5686.0
6,1,2020,13,5398.0
6,1,2020,14,5586.0
6,1,2020,15,7138.0
6,1,2020,16,7689.0
6,1,2020,17,11258.0
6,1,2020,18,12475.0
6,1,2020,19,6088.0
6,1,2020,20,2925.0
6,1,2020,21,1816.0
6,1,2020,22,1214.0
6,1,2020,23,641.0
7,1,2020,0,174.0
7,1,2020,1,11.0
7,1,2020,2,3.0
7,1,2020,3,1.0
7,1,2020,4,9.0
7,1,2020,5,55.0
7,1,2020,6,1275.0
7,1,2020,7,7810.0
7,1,2020,8,9853.0
7,1,2020,9,6201.0
7,1,2020,10,4308.0
7,1,2020,11,4203.0
7,1,2020,12,4502.0
7,1,2020,13,4660.0
7,1,2020,14,4898.0
7,1,2020,15,6180.0
7,1,2020,16,7313.0
7,1,2020,17,10237.0
7,1,2020,18,11911.0
7,1,2020,19,6179.0
7,1,2020,20,2905.0
7,1,2020,21,1879.0
7,1,2020,22,1250.0
7,1,2020,23,698.0
8,1,2020,0,224.0
8,1,2020,1,6.0
8,1,2020,2,1.0
8,1,2020,3,
8,1,2020,4,11.0
8,1,2020,5,77.0
8,1,2020,6,2521.0
8,1,2020,7,10707.0
8,1,2020,8,12186.0
8,1,2020,9,7722.0
8,1,2020,10,6065.0
8,1,2020,11,6327.0
8,1,2020,12,7199.0
8,1,2020,13,7414.0
8,1,2020,14,8004.0
8,1,2020,15,9803.0
8,1,2020,16,11252.0
8,1,2020,17,14788.0
8,1,2020,18,16657.0
8,1,2020,19,8706.0
8,1,2020,20,4449.0
8,1,2020,21,3171.0
8,1,2020,22,2186.0
8,1,2020,23,1207.0
9,1,2020,0,420.0
9,1,2020,1,16.0
9,1,2020,2,1.0
9,1,2020,3,7.0
9,1,2020,4,23.0
9,1,2020,5,98.0
9,1,2020,6,2853.0
9,1,2020,7,11983.0
9,1,2020,8,13234.0
9,1,2020,9,8394.0
9,1,2020,10,7533.0
9,1,2020,11,8245.0
9,1,2020,12,8867.0
9,1,2020,13,9477.0
9,1,2020,14,10101.0
9,1,2020,15,11679.0
9,1,2020,16,13239.0
9,1,2020,17,16864.0
9,1,2020,18,19257.0
9,1,2020,19,10551.0
9,1,2020,20,5713.0
9,1,2020,21,3888.0
9,1,2020,22,2725.0
9,1,2020,23,1459.0
10,1,2020,0,514.0
10,1,2020,1,16.0
10,1,2020,2,1.0
10,1,2020,3,5.0
10,1,2020,4,15.0
10,1,2020,5,121.0
10,1,2020,6,2895.0
10,1,2020,7,11150.0
10,1,2020,8,13228.0
10,1,2020,9,9297.0
10,1,2020,10,7834.0
10,1,2020,11,9397.0
10,1,2020,12,10466.0
10,1,2020,13,11114.0
10,1,2020,14,13255.0
10,1,2020,15,15479.0
10,1,2020,16,17138.0
10,1,2020,17,21593.0
10,1,2020,18,23219.0
10,1,2020,19,14092.0
10,1,2020,20,7785.0
10,1,2020,21,5178.0
10,1,2020,22,3725.0
10,1,2020,23,2374.0
11,1,2020,0,994.0
11,1,2020,1,27.0
11,1,2020,2,6.0
11,1,2020,3,15.0
11,1,2020,4,27.0
11,1,2020,5,53.0
11,1,2020,6,1482.0
11,1,2020,7,4662.0
11,1,2020,8,6500.0
11,1,2020,9,6800.0
11,1,2020,10,7921.0
11,1,2020,11,10511.0
11,1,2020,12,13492.0
11,1,2020,13,16540.0
11,1,2020,14,19281.0
11,1,2020,15,20999.0
11,1,2020,16,22163.0
11,1,2020,17,23021.0
11,1,2020,18,20006.0
11,1,2020,19,14235.0
11,1,2020,20,8494.0
11,1,2020,21,5412.0
11,1,2020,22,3831.0
11,1,2020,23,2482.0
12,1,2020,0,1105.0
12,1,2020,1,60.0
12,1,2020,2,28.0
12,1,2020,3,3.0
12,1,2020,4,17.0
12,1,2020,5,18.0
12,1,2020,6,402.0
12,1,2020,7,1655.0
12,1,2020,8,2703.0
12,1,2020,9,3879.0
12,1,2020,10,4902.0
12,1,2020,11,6076.0
12,1,2020,12,7812.0
12,1,2020,13,9949.0
12,1,2020,14,11680.0
12,1,2020,15,12182.0
12,1,2020,16,12572.0
12,1,2020,17,12545.0
12,1,2020,18,11010.0
12,1,2020,19,8089.0
12,1,2020,20,5273.0
12,1,2020,21,3487.0
12,1,2020,22,2215.0
12,1,2020,23,1168.0
13,1,2020,0,378.0
13,1,2020,1,19.0
13,1,2020,2,4.0
13,1,2020,3,7.0
13,1,2020,4,22.0
13,1,2020,5,148.0
13,1,2020,6,3158.0
13,1,2020,7,12237.0
13,1,2020,8,14314.0
13,1,2020,9,9302.0
13,1,2020,10,8298.0
13,1,2020,11,9106.0
13,1,2020,12,10625.0
13,1,2020,13,10910.0
13,1,2020,14,11700.0
13,1,2020,15,13091.0
13,1,2020,16,14304.0
13,1,2020,17,18089.0
13,1,2020,18,20198.0
13,1,2020,19,10760.0
13,1,2020,20,5386.0
13,1,2020,21,3598.0
13,1,2020,22,2348.0
13,1,2020,23,1251.0
14,1,2020,0,347.0
14,1,2020,1,23.0
14,1,2020,2,2.0
14,1,2020,3,
14,1,2020,4,8.0
14,1,2020,5,115.0
14,1,2020,6,2966.0
14,1,2020,7,12205.0
14,1,2020,8,14030.0
14,1,2020,9,9309.0
14,1,2020,10,8870.0
14,1,2020,11,9659.0
14,1,2020,12,11266.0
14,1,2020,13,11985.0
14,1,2020,14,13233.0
14,1,2020,15,14568.0
14,1,2020,16,16308.0
14,1,2020,17,19989.0
14,1,2020,18,21104.0
14,1,2020,19,11539.0
14,1,2020,20,5778.0
14,1,2020,21,3962.0
14,1,2020,22,2735.0
14,1,2020,23,1365.0
15,1,2020,0,432.0
15,1,2020,1,21.0
15,1,2020,2,2.0
15,1,2020,3,1.0
15,1,2020,4,9.0
15,1,2020,5,109.0
15,1,2020,6,2821.0
15,1,2020,7,11695.0
15,1,2020,8,13926.0
15,1,2020,9,9429.0
15,1,2020,10,8848.0
15,1,2020,11,10239.0
15,1,2020,12,12001.0
15,1,2020,13,12305.0
15,1,2020,14,13326.0
15,1,2020,15,14307.0
15,1,2020,16,15623.0
15,1,2020,17,19727.0
15,1,2020,18,20964.0
15,1,2020,19,11808.0
15,1,2020,20,5871.0
15,1,2020,21,3986.0
15,1,2020,22,2801.0
15,1,2020,23,1553.0
16,1,2020,0,463.0
16,1,2020,1,18.0
16,1,2020,2,4.0
16,1,2020,3,7.0
16,1,2020,4,13.0
16,1,2020,5,113.0
16,1,2020,6,2926.0
16,1,2020,7,11252.0
16,1,2020,8,13427.0
16,1,2020,9,9363.0
16,1,2020,10,8434.0
16,1,2020,11,9476.0
16,1,2020,12,10784.0
16,1,2020,13,11088.0
16,1,2020,14,12259.0
16,1,2020,15,13061.0
16,1,2020,16,14343.0
16,1,2020,17,17758.0
16,1,2020,18,19316.0
16,1,2020,19,10581.0
16,1,2020,20,5536.0
16,1,2020,21,3865.0
16,1,2020,22,2625.0
16,1,2020,23,1478.0
17,1,2020,0,515.0
17,1,2020,1,38.0
17,1,2020,2,5.0
17,1,2020,3,4.0
17,1,2020,4,9.0
17,1,2020,5,117.0
17,1,2020,6,2860.0
17,1,2020,7,10907.0
17,1,2020,8,13492.0
17,1,2020,9,9104.0
17,1,2020,10,8324.0
17,1,2020,11,10877.0
17,1,2020,12,12309.0
17,1,2020,13,12027.0
17,1,2020,14,13199.0
17,1,2020,15,14572.0
17,1,2020,16,15497.0
17,1,2020,17,18349.0
17,1,2020,18,19686.0
17,1,2020,19,11290.0
17,1,2020,20,5908.0
17,1,2020,21,3986.0
17,1,2020,22,3114.0
17,1,2020,23,1850.0
18,1,2020,0,823.0
18,1,2020,1,35.0
18,1,2020,2,7.0
18,1,2020,3,8.0
18,1,2020,4,13.0
18,1,2020,5,40.0
18,1,2020,6,1399.0
18,1,2020,7,4364.0
18,1,2020,8,5939.0
18,1,2020,9,6331.0
18,1,2020,10,6784.0
18,1,2020,11,8862.0
18,1,2020,12,11649.0
18,1,2020,13,14063.0
18,1,2020,14,15490.0
18,1,2020,15,15874.0
18,1,2020,16,16242.0
18,1,2020,17,16864.0
18,1,2020,18,15215.0
18,1,2020,19,11451.0
18,1,2020,20,6883.0
18,1,2020,21,4432.0
18,1,2020,22,3415.0
18,1,2020,23,2229.0
19,1,2020,0,984.0
19,1,2020,1,44.0
19,1,2020,2,9.0
19,1,2020,3,2.0
19,1,2020,4,23.0
19,1,2020,5,15.0
19,1,2020,6,422.0
19,1,2020,7,1578.0
19,1,2020,8,2813.0
19,1,2020,9,3719.0
19,1,2020,10,5142.0
19,1,2020,11,7384.0
19,1,2020,12,9528.0
19,1,2020,13,12022.0
19,1,2020,14,13546.0
19,1,2020,15,14930.0
19,1,2020,16,15366.0
19,1,2020,17,16291.0
19,1,2020,18,13618.0
19,1,2020,19,8972.0
19,1,2020,20,5475.0
19,1,2020,21,6324.0
19,1,2020,22,2716.0
19,1,2020,23,1255.0
20,1,2020,0,378.0
20,1,2020,1,13.0
20,1,2020,2,3.0
20,1,2020,3,6.0
20,1,2020,4,12.0
20,1,2020,5,134.0
20,1,2020,6,2662.0
20,1,2020,7,10351.0
20,1,2020,8,12641.0
20,1,2020,9,8648.0
20,1,2020,10,7602.0
20,1,2020,11,8701.0
20,1,2020,12,10047.0
20,1,2020,13,10833.0
20,1,2020,14,11324.0
20,1,2020,15,11933.0
20,1,2020,16,12589.0
20,1,2020,17,16123.0
20,1,2020,18,17894.0
20,1,2020,19,9443.0
20,1,2020,20,4687.0
20,1,2020,21,3125.0
20,1,2020,22,2030.0
20,1,2020,23,1053.0
21,1,2020,0,316.0
21,1,2020,1,17.0
21,1,2020,2,2.0
21,1,2020,3,2.0
21,1,2020,4,9.0
21,1,2020,5,96.0
21,1,2020,6,2577.0
21,1,2020,7,10365.0
21,1,2020,8,12489.0
21,1,2020,9,8323.0
21,1,2020,10,7206.0
21,1,2020,11,8292.0
21,1,2020,12,9515.0
21,1,2020,13,10172.0
21,1,2020,14,10940.0
21,1,2020,15,11692.0
21,1,2020,16,13750.0
21,1,2020,17,17985.0
21,1,2020,18,18925.0
21,1,2020,19,10305.0
21,1,2020,20,5124.0
21,1,2020,21,3603.0
21,1,2020,22,2516.0
21,1,2020,23,1386.0
22,1,2020,0,389.0
22,1,2020,1,29.0
22,1,2020,2,2.0
22,1,2020,3,2.0
22,1,2020,4,9.0
22,1,2020,5,99.0
22,1,2020,6,2660.0
22,1,2020,7,10440.0
22,1,2020,8,12509.0
22,1,2020,9,8859.0
22,1,2020,10,8342.0
22,1,2020,11,10055.0
22,1,2020,12,13021.0
22,1,2020,13,14194.0
22,1,2020,14,15938.0
22,1,2020,15,16857.0
22,1,2020,16,18687.0
22,1,2020,17,22523.0
22,1,2020,18,23684.0
22,1,2020,19,14039.0
22,1,2020,20,6677.0
22,1,2020,21,4053.0
22,1,2020,22,3967.0
22,1,2020,23,1849.0
23,1,2020,0,520.0
23,1,2020,1,25.0
23,1,2020,2,15.0
23,1,2020,3,2.0
23,1,2020,4,24.0
23,1,2020,5,107.0
23,1,2020,6,2568.0
23,1,2020,7,10422.0
23,1,2020,8,12747.0
23,1,2020,9,8537.0
23,1,2020,10,8141.0
23,1,2020,11,9002.0
23,1,2020,12,10881.0
23,1,2020,13,11708.0
23,1,2020,14,12867.0
23,1,2020,15,13498.0
23,1,2020,16,15006.0
23,1,2020,17,19244.0
23,1,2020,18,20519.0
23,1,2020,19,10965.0
23,1,2020,20,5539.0
23,1,2020,21,3724.0
23,1,2020,22,2691.0
23,1,2020,23,1536.0
24,1,2020,0,465.0
24,1,2020,1,23.0
24,1,2020,2,1.0
24,1,2020,3,
24,1,2020,4,14.0
24,1,2020,5,100.0
24,1,2020,6,2512.0
24,1,2020,7,10051.0
24,1,2020,8,12473.0
24,1,2020,9,8382.0
24,1,2020,10,8267.0
24,1,2020,11,9868.0
24,1,2020,12,12386.0
24,1,2020,13,12713.0
24,1,2020,14,15310.0
24,1,2020,15,17048.0
24,1,2020,16,18754.0
24,1,2020,17,23037.0
24,1,2020,18,24508.0
24,1,2020,19,14368.0
24,1,2020,20,7318.0
24,1,2020,21,4714.0
24,1,2020,22,3538.0
24,1,2020,23,2122.0
25,1,2020,0,915.0
25,1,2020,1,23.0
25,1,2020,2,9.0
25,1,2020,3,4.0
25,1,2020,4,33.0
25,1,2020,5,40.0
25,1,2020,6,1386.0
25,1,2020,7,4318.0
25,1,2020,8,5871.0
25,1,2020,9,6612.0
25,1,2020,10,7794.0
25,1,2020,11,10271.0
25,1,2020,12,14444.0
25,1,2020,13,17123.0
25,1,2020,14,20235.0
25,1,2020,15,21711.0
25,1,2020,16,22896.0
25,1,2020,17,23728.0
25,1,2020,18,20633.0
25,1,2020,19,14375.0
25,1,2020,20,8124.0
25,1,2020,21,4954.0
25,1,2020,22,4588.0
25,1,2020,23,2500.0
26,1,2020,0,1033.0
26,1,2020,1,53.0
26,1,2020,2,5.0
26,1,2020,3,5.0
26,1,2020,4,18.0
26,1,2020,5,21.0
26,1,2020,6,418.0
26,1,2020,7,1484.0
26,1,2020,8,2658.0
26,1,2020,9,3983.0
26,1,2020,10,5693.0
26,1,2020,11,7484.0
26,1,2020,12,10898.0
26,1,2020,13,14061.0
26,1,2020,14,16845.0
26,1,2020,15,17891.0
26,1,2020,16,18094.0
26,1,2020,17,18891.0
26,1,2020,18,16907.0
26,1,2020,19,11909.0
26,1,2020,20,7173.0
26,1,2020,21,4506.0
26,1,2020,22,2853.0
26,1,2020,23,1345.0
27,1,2020,0,478.0
27,1,2020,1,24.0
27,1,2020,2,15.0
27,1,2020,3,8.0
27,1,2020,4,33.0
27,1,2020,5,132.0
27,1,2020,6,2697.0
27,1,2020,7,10941.0
27,1,2020,8,12998.0
27,1,2020,9,8857.0
27,1,2020,10,8439.0
27,1,2020,11,9758.0
27,1,2020,12,12317.0
27,1,2020,13,13114.0
27,1,2020,14,14696.0
27,1,2020,15,16423.0
27,1,2020,16,17763.0
27,1,2020,17,22852.0
27,1,2020,18,22501.0
27,1,2020,19,12118.0
27,1,2020,20,6204.0
27,1,2020,21,4012.0
27,1,2020,22,2716.0
27,1,2020,23,1364.0
28,1,2020,0,341.0
28,1,2020,1,16.0
28,1,2020,2,3.0
28,1,2020,3,6.0
28,1,2020,4,18.0
28,1,2020,5,99.0
28,1,2020,6,2509.0
28,1,2020,7,10371.0
28,1,2020,8,12472.0
28,1,2020,9,8171.0
28,1,2020,10,7339.0
28,1,2020,11,8634.0
28,1,2020,12,10839.0
28,1,2020,13,11799.0
28,1,2020,14,13714.0
28,1,2020,15,14890.0
28,1,2020,16,16598.0
28,1,2020,17,20741.0
28,1,2020,18,22203.0
28,1,2020,19,12269.0
28,1,2020,20,5994.0
28,1,2020,21,4166.0
28,1,2020,22,2795.0
28,1,2020,23,1403.0
29,1,2020,0,455.0
29,1,2020,1,18.0
29,1,2020,2,2.0
29,1,2020,3,1.0
29,1,2020,4,8.0
29,1,2020,5,109.0
29,1,2020,6,2614.0
29,1,2020,7,10202.0
29,1,2020,8,12930.0
