isim_iskele;isim_hat;turu_iskele;globalid;shape
Beykoz ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{CBC08B8E-3382-43A3-9A7B-80E1EE258F7D};POINT (29.0903133275983 41.1343110131553)
Sirkeci Feribot;Sirkeci-Harem;IDO Feribot;{F1FE3E94-B452-49CB-9DB6-0801E30D2FBB};POINT (28.9768197576655 41.0167315370206)
Çubuklu ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{D0063027-0113-4501-8F3F-9D18F8266181};POINT (29.0804399779341 41.1074643693258)
Avcýlar ÝDO;Avcýlar-Bakýrköy;IDO Deniz Otobus;{E6901FDF-41C5-4F1B-8AEB-EFB9F553C510};POINT (28.7179090780082 40.9710725275078)
Rumeli Kavaðý ÞH.;Sarýyer-Rumeli Kavaðý-Anadolu Kavaðý;IDO Þehir Hatlarý;{4803499A-B4DB-48B5-91AD-0194A97543D6};POINT (29.0751996678947 41.1816276650096)
Küçüksu ÞH.;Küçüksu-Beþiktaþ;IDO Þehir Hatlarý;{CF95EB18-55B2-434F-B589-418D43E7D05C};POINT (29.0651156614268 41.0791765129044)
Anadolu Kavaðý ÞH.;Sarýyer-Rumeli Kavaðý-Anadolu Kavaðý;IDO Þehir Hatlarý;{6CB391D1-F258-4B91-B064-52C32B258C65};POINT (29.0879039342982 41.1733962294432)
Kadýköy ÝDO;Bostancý-Kadýköy-Yenikapý-Bakýrköy-Sarýyer-Beykoz-Ýstinye-Beþiktaþ-Kabataþ;IDO Deniz Otobus;{6AA47581-1DE9-4BEE-A685-391BD5C4DFD9};POINT (29.0185878590946 40.9909955461526)
Beþiktaþ-Üsküdar ÞH.;Üsküdar-Beþiktaþ;IDO Þehir Hatlarý;{F05CC7D0-950A-46ED-BC87-203F41597C83};POINT (29.0073618373636 41.0410405036449)
Ýstinye ÝDO;Sarýyer-Beykoz-Ýstinye-Beþiktaþ-Kabataþ-Kadýköy;IDO Deniz Otobus;{8DF18101-0E3A-4863-96B1-6FD26AB708FB};POINT (29.0604822463044 41.113510080215)
Hasköy ÞH.;Haliç Hattý;IDO Þehir Hatlarý;{53B22F5F-7288-48F3-94DC-EF5A9063B8AA};POINT (28.9490991610848 41.040583414696)
Eminönü-Üsküdar ÞH.;Eminönü-Üsküdar;IDO Þehir Hatlarý;{06B94E7C-391A-4BDA-9CFF-C6EEEC8C547E};POINT (28.9762631592989 41.0171141458797)
Yeni Kadýköy ÞH.;Karaköy-Haydarpaþa-Kadýköy / Kadýköy-Eminönü / Kadýköy-Kabataþ;IDO Þehir Hatlarý;{C14BC839-B708-4A2E-ADF7-21158CC1CA15};POINT (29.0227098868849 40.9929933768951)
Kuzguncuk ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{8BBF9F8A-782C-4237-80B0-C6FE60A3D07E};POINT (29.0297691641306 41.0369024427848)
Paþabahçe ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{94B0769C-026D-426A-B658-3EC66DCBB962};POINT (29.093198913167 41.1168170619071)
Kasýmpaþa ÞH.;Haliç Hattý;IDO Þehir Hatlarý;{BCB9657E-0562-4330-AA09-95F128FB71BE};POINT (28.9661732233785 41.0303755455709)
Balat ÞH.;Haliç Hattý;IDO Þehir Hatlarý;{A2AD10F1-CB0C-48B3-9C22-5C354D73191B};POINT (28.9493324695503 41.0348382576887)
Çubuklu ÞH. (Arabalý Vapur);Ýstinye - Çubuklu Arabalý Vapur Hattý;IDO Þehir Hatlarý;{C8ADD80C-1789-4F4D-8305-B2021F6EE0A0};POINT (29.0825008833801 41.108529054266)
Eminönü Dentur;Eminönü - Bebek;Özel Motor;{13FA79A0-27FB-4DBC-B247-45BA33A69646};POINT (28.9740817119005 41.0179947208576)
Ýstinye ÞH. (Arabalý Vapur);Ýstinye - Çubuklu Arabalý Vapur Hattý;IDO Þehir Hatlarý;{D2C1BA16-E6B1-4913-9DAA-59AF5FBBDB9E};POINT (29.0573095161992 41.113481695621)
Eminönü Camlý Ýskele ÞH.;Kadýköy-Eminönü;IDO Þehir Hatlarý;{BB14DA05-3235-4A25-B6CF-7250197A2AC2};POINT (28.9731077113377 41.0182684959651)
Büyükada Turyol;Adalar;Özel Motor;{9A76BB27-3A66-43AF-A00F-044BA20807E9};POINT (29.1312874375294 40.8748780016758)
Bakýrköy Turyol;Bakýrköy-Kadýköy--Eminönü-Bakýrköy;Özel Motor;{6683D759-7A86-4F53-BFB3-E12F4D98B63F};POINT (28.8781017717681 40.9730774106038)
Büyükçekmece Turyol;Büyükçekmece;Özel Motor;{73300B93-510B-41F5-8701-AC0FB7015D2C};POINT (28.5633034448245 41.015386193409)
Beþiktaþ Turyol;Beþiktaþ;Özel Motor;{2A2D62A1-E8C9-4761-BA58-BD9AF23FE474};POINT (29.0087290141675 41.0411807067374)
Sarýyer ÞH.;Sarýyer-Rumeli Kavaðý-Anadolu Kavaðý;IDO Þehir Hatlarý;{0D7F6806-0DDC-4627-9F2A-5CE35555CC60};POINT (29.0575846541708 41.1662693861718)
Karaköy Turyol;Üsküdar-Haydarpaþa-Kadýköy2(Çayýrbaþý)-Eminönü;Özel Motor;{1D861B38-B8BF-4A5E-933C-8EE67BC89D01};POINT (28.9732871666207 41.021748402207)
