Sıra No,İstasyon Adı,İstasyon Lokasyonu,İstasyon Koordinatları,,
beus1,AHL-Bakırköy,AHL,"40⁰ 59′ 35.79″ N, 28⁰ 49′ 3.55″ E",,
beus2,Maslak-İTÜ,İTÜ,"41⁰ 5′ 59.93″ N, 29⁰ 1′ 35.03″ E",,
beus3,Zincirlikuyu,Zincirlikuyu,"41⁰ 4′ 0.17″ N, 29⁰ 0′ 46.87″ E",,
beus4,Esenler,Sağmalcılar,"41⁰ 2′ 40.68″ N, 28⁰ 53′ 32.51″ E",,
beus5,Haliç,Haliç,"41⁰ 2′ 41.32″ N, 28⁰ 56′ 32.92″ E",,
beus6,Zekeriyaköy,Zekeriyaköy,"41⁰ 11′ 28.61″ N, 29⁰ 0′ 22.85″ E",,
beus7,Hacıosman-Sarıyer,Hacıosman,"41⁰ 8′ 25.72″ N, 29⁰ 1′ 39.46″ E",,
beus8,Beşiktaş-Yıldız,Yıldız,"41⁰ 3′ 12.67″ N, 29⁰ 0′ 31.81″ E",,
beus9,G.O.Paşa,Akşemsettin,"41⁰ 5′ 40.7″ N, 28⁰ 55′ 16.3″ E",,
beus10,İstoç-Mahmutbey,Mahmutbey,"41⁰ 3′ 49.19″ N, 28⁰ 50′ 54.64″ E",,
beus11,Bahçeşehir-Ispartakule,Ispartakule,"41⁰ 3′ 33.02″ N, 28⁰ 41′ 49.08″ E",,
beus12,Selimpaşa-Kavaklı,Kavaklı,"41⁰ 6′ 1.11″ N, 28⁰ 19′ 59.35″ E",,
beus13,Kınalı,Kovaderesi,"41⁰ 7′ 28.65″ N, 28⁰ 10′ 4″ E",,
beus14,Beylikdüzü-Haramidere,Haramidere,"41⁰ 0′ 20.77″ N, 28⁰ 40′ 25.11″ E",,
beus15,B.Çekmece-S Virajları,S virajları,"41⁰ 1′ 34.35″ N, 28⁰ 36′ 51.94″ E",,
beus16,Beykoz,Beykoz,"41⁰ 7′ 54.54″ N, 29⁰ 7′ 51.16″ E",,
beus17,Kartal-U.Mumcu,Uğurmumcu,"40⁰ 56′ 51.58″ N, 29⁰ 13′ 1.7″ E",,
beus18,Arnavutköy,Arnavutköy,"41⁰ 10′ 29.3″ N, 28⁰ 45′ 12.93″ E",,
beus19,Ümraniye,Ümraniye,"41⁰ 1′ 49″ N, 29⁰ 7′ 15.16″ E",,
beus20,Pendik,Pendik,"40⁰ 53′ 22.27″ N, 29⁰ 14′ 13.57″ E",,
beus21,Bayramoğlu-Tuzla,Servetbayramoğlu,"40⁰ 52′ 35.7″ N, 29⁰ 23′ 17.66″ E",,
beus22,Çamlıca-Libadiye,Libadiye,"41⁰ 1′ 15.57″ N, 29⁰ 4′ 28.82″ E",,
beus23,Ataşehir,RıdvanDedeoğlu,"41⁰ 0′ 16.16″ N, 29⁰ 6′ 5.66″ E",,
beus24,Alemdağ,Alemdağ,"41⁰ 2′ 29.19″ N, 29⁰ 16′ 25.38″ E",,
beus25,Şile,Şile,"41⁰ 9′ 57.38″ N, 29⁰ 30′ 7.5″ E",,
beus26 ,Yavuz Sultan Selim,Yavuz Sultan Selim," 41°12'24.00""N,  29° 6'15.80""E",,
beus27,Durusu,Durusu," 41°16'27.77""N,  28°39'39.98""E",,
beus28,Subaşı,Subaşı," 41°13'44.32""N,  28°29'50.19""E",,
beus29,Süreyyapaşa,Süreyyapaşa," 40°55'36.24""N, 29° 7'21.38""E",,
beus30,Sabiha Gökçen,Sabiha Gökçen," 40°54'52.25""N,  29°19'29.95""E",,
beus31,Başakşehir ,Başakşehir ," 41° 7'23.81""N,  28°48'45.26""E",,
beus32,Odayeri,Odayeri," 41°13'59.29""N,  28°50'43.50""E",,
beus33,Çiftalan,Çiftalan," 41°14'3.63""N,  28°55'5.83""E",,
beus34,Uskumruköy,Uskumruköy," 41°13'34.11""N,  29° 2'35.45""E",,
beus35,Alibahadır,Alibahadır," 41°11'14.90""N,  29°12'50.50""E",,
beus36,Riva Tunel Kuzey,Riva Tunel Kuzey," 41° 8'56.52""N, 29°16'23.21""E",,
beus37,Riva Tunel Güney,Riva Tunel Güney,"41° 8'34.56""N, 29°16'53.27""E",,
beus38,Paşaköy,Paşaköy," 41° 0'33.17""N,  29°16'26.60""E",,
beus39,Çamlıca Tunel Kuzey,Çamlıca Tunel Kuzey," 41° 3'3.16""N,  29° 9'32.57""E",,
beus40,Çamlıca Tunel Güney,Çamlıca Tunel Güney," 41° 3'4.90""N,  29°11'37.59""E",,
beus41, D 100 Gümüşyaka, Gümüşyaka,"41° 2'47""N,  28°02'32""E",,
beus42,D100 Silivri, Silivri,"41° 4'17""N,  28°16'42""E",,
beus43,D100 Kumburgaz,Kumburgaz,"41° 1'43""N,  28°27'35""E",,
beus44,TEM Çatalca Gişeler, Çatalca Gişeler,"41° 5'42""N,  28°30'44""E",,
beus45,Kayaşehir,Kayaşehir,"41° 3'57""N,  28°46'10""E",,
beus46,3. Havalimanı, İstanbul Havalimanı,"41° 14'46""N,  28°44'15""E",,
beus47,Kemerburgaz,Kemerburgaz,"41° 10'35""N,  28°52'43""E",,
beus48,Bakırköy,Sakızağacı,"40° 58'41""N,  28°53'07""E",,
beus49,Tarlabaşı,Tarlabaşı,"41° 1'59""N,  28°58'28""E",,
beus50,Aşiyan ,Aşiyan ,"41° 4'48""N,  29°03'05""E",,
beus51,Göksu evleri_Kavacık,Kavacık,"41° 5'06""N,  29°05'09""E",,
beus52,Beylerbeyi,Beylerbeyi,"41° 2'26""N,  29°02'30""E",,
beus53,Koşuyolu İsfalt Girişi,Koşuyolu,"41° 00'22""N,  29°01'22""E",,
beus54,Kozyatağı,Kozyatağı,"40° 58'49""N,  29°05'46""E",,
beus55, Sultanbeyli, Sultanbeyli,"40° 58'01""N,  29°16'18""E",,
beus56,Tuzla Piyade okulu,Tuzla Piyade okulu,"40° 50'04""N,  29°19'36""E",,
beus57,Şile yolu ömerli,Şile yolu ömerli,"41° 5'18""N,  29°22'15""E",,
